Date,Title
09/11/2011,PIONIER: a 4-telescope visitor instrument at VLTI
09/11/2011,"Episodic accretion, radiative feedback, and their role in low-mass star formation"
09/11/2011,"Near-Infrared Spectroscopy of Low-Mass Kepler Planet-Candidate Host Stars: Effective Temperatures, Metallicities, Masses and Radii"
09/06/2011,The substellar population of Sigma Orionis: A deep wide survey
09/06/2011,The Initial Mass Function and Disk Frequency of the Rho Ophiuchi Cloud: An Extinction-Limited Sample
08/26/2011,Calculating the local-type fNL for slow-roll inflation with a non-vacuum initial state [Replacement]
08/26/2011,New Initiatives on RR Lyrae Chemical Compositions
08/26/2011,Metal Abundance Calibration of the Ca II Triplet Lines in RR Lyrae Stars
08/23/2011,The Discovery of Y Dwarfs Using Data from the Wide-field Infrared Survey Explorer (WISE)
08/23/2011,The First Hundred Brown Dwarfs Discovered by the Wide-field Infrared Survey Explorer (WISE)
08/23/2011,Vaporization of the Earth: Application to Exoplanet Atmospheres
08/23/2011,Signals of exomoons in averaged light curves of exoplanets
08/23/2011,The origin of very wide binary stars
08/23/2011,The Chemical Abundances of Stars in the Halo (CASH) Project. II. A Sample of 16 Extremely Metal-poor Stars
08/22/2011,Planetary Construction Zones in Occultation: Eclipses by Circumsecondary and Circumplanetary Disks and a Candidate Eclipse of a Pre-Main Sequence Star in Sco-Cen
08/22/2011,Retired A Stars and Their Companions: Eighteen New Jovian Planets
08/22/2011,Characterizing the Heavy Elements in Globular Cluster M22 and an Empirical s-process Abundance Distribution Derived from the Two Stellar Groups
08/22/2011,Accretion Discs Trapped Near Corotation
08/16/2011,X-Ray And Optical Flux Ratio Anomalies In Quadruply Lensed Quasars. II. Mapping the Dark Matter Content in Elliptical Galaxies
08/03/2011,"Disordered Silicates in Space: a Study of Laboratory Spectra of ""Amorphous"" Silicates"
07/27/2011,Kepler Mission Stellar and Instrument Noise Properties
07/27/2011,"The outcome of protoplanetary dust growth: pebbles, boulders, or planetesimals? III. Sedimentation driven coagulation inside the snow-line"
07/26/2011,Chemical evolution of a protoplanetary disk
07/26/2011,A Search for High Proper Motion T Dwarfs with Pan-STARRS1 + 2MASS + WISE
07/25/2011,Dynamical Tides in Eccentric Binaries and Tidally-Excited Stellar Pulsations in KEPLER KOI-54
07/25/2011,Searching for initial mass function variations in resolved stellar populations
